id,date,open,high,low,close,volume
74,2/1/1999,128.69,128.84,121.33,123.56,165000000
75,3/1/1999,123.66,132.63,121.78,128.38,148000000
76,4/1/1999,129.69,137.5,128.13,133.25,157000000
77,5/3/1999,133.44,138,128,130.2,183000000
78,6/1/1999,130.13,137.5,128.02,137,161000000
79,7/1/1999,137,142.25,132.56,132.75,116000000
80,8/2/1999,132.75,138.78,127,132.06,143000000
81,9/1/1999,132.94,136.63,125.56,128.75,168000000
82,10/1/1999,127.94,137.69,123.44,137,197000000
83,11/1/1999,136.5,143,134.59,139.28,125000000
84,12/1/1999,139.31,147.56,139,146.88,122000000
85,1/3/2000,148.25,148.25,135,139.56,157000000
86,2/1/2000,139.75,144.56,132.72,137.44,187000000
87,3/1/2000,137.63,155.75,135.03,150.38,248000000
88,4/3/2000,150.13,153.11,133.5,145.09,229000000
89,5/1/2000,146.56,148.48,136.5,142.81,161000000
90,6/1/2000,143.69,149.16,143,145.28,127000000
91,7/3/2000,145.44,151.98,141.52,143,107000000
92,8/1/2000,143.63,153.09,142.63,152.34,102000000
93,9/1/2000,153.25,153.59,142.13,143.63,113000000
94,10/2/2000,144.28,145.75,130.16,142.95,178000000
95,11/1/2000,142.25,144.3,129.75,132.28,157000000
96,12/1/2000,133.19,139.56,125.53,131.19,165000000
97,1/1/2001,132,138.7,127.56,137.02,181000000
98,2/1/2001,137.1,137.99,121.8,123.95,179000000
99,3/1/2001,124.05,127.75,108.04,116.69,318000000
100,4/2/2001,116.3,127.27,109.3,126.66,252000000
101,5/1/2001,125.07,132.09,123.44,125.95,208000000
102,6/1/2001,126.2,129.23,120.4,122.6,204000000
103,7/2/2001,122.8,124.32,116.75,121.35,197000000
104,8/1/2001,121.97,123.25,112.04,114.15,270000000
105,9/3/2001,113.85,116.17,93.8,104.44,419000000
106,10/1/2001,103.9,111.79,102.83,105.8,513000000
107,11/1/2001,106.6,116.9,105.7,114.05,373000000
108,12/3/2001,113.65,118,112,114.3,308000000
109,1/1/2002,115.11,117.99,108.4,113.18,349000000
110,2/1/2002,113.09,113.3,107.82,111.15,424000000
111,3/1/2002,111.72,117.9,111.51,114.52,386000000
112,4/1/2002,114.23,115.1,106.63,107.86,404000000
113,5/1/2002,107.97,111.25,104.9,107.22,453000000
114,6/3/2002,107.09,107.6,95.19,98.96,535000000
115,7/1/2002,99.18,99.8,77.68,91.16,1120000000
116,8/1/2002,90.88,97.15,83.55,91.78,936000000
117,9/2/2002,90.73,93.33,80.9,81.79,1010000000
118,10/1/2002,82.43,91.29,77.07,88.52,1340000000
119,11/1/2002,88.35,94.95,87.45,93.98,818000000
120,12/2/2002,95.47,96.05,87.11,88.23,728000000
121,1/1/2003,88.85,93.86,84.15,86.06,911000000
122,2/3/2003,86.14,86.81,81,84.9,862000000
123,3/3/2003,85.26,89.88,79.38,84.74,1160000000
124,4/1/2003,85.25,92.8,84.91,91.91,996000000
125,5/1/2003,91.92,97.09,90.5,96.95,882000000
126,6/2/2003,97.53,102.18,96.67,97.63,868000000
127,7/1/2003,97.25,101.9,96.43,99.39,895000000
128,8/1/2003,99.19,101.82,96.34,101.44,773000000
129,9/1/2003,101.64,104.7,99.25,99.95,819000000
130,10/1/2003,100.24,105.97,100.2,105.3,832000000
131,11/3/2003,105.75,106.95,103.62,106.45,631000000
132,12/1/2003,106.85,111.52,105.96,111.28,678000000
133,1/1/2004,111.74,116.5,110.73,113.48,738000000
134,2/2/2004,113.7,116.6,112.78,115.02,677000000
135,3/1/2004,115.43,116.97,108.85,113.1,1130000000
136,4/1/2004,113.07,115.41,110.9,110.96,969000000
137,5/3/2004,111.37,113.26,108.06,112.86,981000000
138,6/1/2004,112.46,114.94,111.87,114.53,722000000
139,7/1/2004,114.25,114.4,108.21,110.84,955000000
140,8/2/2004,110.19,111.63,106.59,111.11,923000000
141,9/1/2004,110.95,113.74,110.41,111.76,791000000
142,10/1/2004,112.26,114.68,109.35,113.2,1040000000
143,11/1/2004,113.56,119.14,113.2,117.89,962000000
144,12/1/2004,118.16,121.66,117.73,120.87,909000000
145,1/3/2005,121.56,121.76,116.37,118.16,1180000000
146,2/1/2005,118.25,121.67,118.1,120.63,1030000000
147,3/1/2005,120.82,123.25,116.25,117.96,1330000000
148,4/1/2005,118.63,119.26,113.55,115.75,1630000000
149,5/2/2005,116.07,120.25,114.8,119.48,1330000000
150,6/1/2005,119.52,121.94,118.75,119.18,1090000000
151,7/1/2005,119.45,124.64,118.26,123.74,1180000000
152,8/1/2005,123.83,124.74,120.38,122.58,1310000000
153,9/1/2005,122.52,124.74,120.44,123.04,1290000000
154,10/3/2005,122.96,123.34,116.88,120.13,1780000000
155,11/1/2005,120.58,127.41,120.13,125.41,1180000000
156,12/1/2005,126.02,128.09,124.36,124.51,1070000000
157,1/2/2006,125.19,129.44,124.39,127.5,1230000000
158,2/1/2006,127.82,130.04,125.4,128.23,1150000000
159,3/1/2006,128.6,131.47,127.18,129.83,1350000000
160,4/3/2006,130.07,131.86,128.02,131.47,1300000000
161,5/1/2006,131.47,132.8,124.76,127.51,1750000000
162,6/1/2006,127.38,129.43,122.34,127.28,2160000000
163,7/3/2006,127.43,128.14,122.39,127.85,1690000000
164,8/1/2006,127.34,131.04,126.28,130.64,1420000000
165,9/1/2006,131.14,133.99,129.35,133.58,1360000000
166,10/2/2006,133.54,139,132.65,137.79,1440000000
167,11/1/2006,138.22,141.16,135.62,140.53,1500000000
168,12/1/2006,140.53,143.24,138.97,141.62,1210000000
169,1/1/2007,142.25,144.13,140.25,143.75,1330000000
170,2/1/2007,144.15,146.42,139,140.93,1490000000
171,3/1/2007,139.34,143.81,136.75,142,2920000000
172,4/2/2007,142.16,149.8,141.48,148.29,1790000000
173,5/1/2007,148.42,153.89,147.67,153.32,2510000000
174,6/1/2007,153.88,154.4,148.06,150.43,3500000000
175,7/2/2007,150.87,155.53,145.04,145.72,3990000000
176,8/1/2007,145.18,150.59,137,147.59,6200000000
177,9/3/2007,147.45,154.39,144.33,152.58,2970000000
178,10/1/2007,152.6,157.52,148.66,154.65,3850000000
179,11/1/2007,153.29,153.41,140.66,148.66,5470000000
180,12/3/2007,148.19,152.89,143.96,146.21,3290000000
181,1/1/2008,146.53,146.99,126,137.37,6110000000
182,2/1/2008,137.94,139.61,131.73,133.82,4150000000
183,3/3/2008,133.14,135.81,126.07,131.97,5460000000
184,4/1/2008,133.61,140.59,132.33,138.26,4010000000
185,5/1/2008,138.38,144.3,137.52,140.35,3650000000
186,6/2/2008,139.83,140.89,127.04,127.98,5410000000
187,7/1/2008,126.52,129.16,120.02,126.83,7160000000
188,8/1/2008,127.12,131.51,124.76,128.79,4340000000
189,9/1/2008,130.03,130.71,110.53,115.99,8110000000
190,10/1/2008,115.27,116.69,83.58,96.83,11900000000
191,11/3/2008,96.78,100.86,74.34,90.09,8760000000
192,12/1/2008,87.51,92.43,81.86,90.24,6920000000
193,1/1/2009,90.44,94.45,80.05,82.83,6870000000
194,2/2/2009,81.57,87.74,73.81,73.93,7280000000
195,3/2/2009,72.52,83.3,67.1,79.52,8810000000
196,4/1/2009,78.53,89.02,78.33,87.42,6020000000
197,5/1/2009,87.44,93.7,86.72,92.53,5200000000
198,6/1/2009,93.67,96.11,88.85,91.95,5050000000
199,7/1/2009,92.34,99.83,87,98.81,4300000000
200,8/3/2009,99.85,104.35,98.11,102.46,3960000000
201,9/1/2009,101.95,108.06,99.57,105.59,3780000000
202,10/1/2009,103,110.31,101.99,103.56,4480000000
203,11/2/2009,104.13,111.74,103.08,109.94,3430000000
204,12/1/2009,110.92,113.03,109.02,111.44,2880000000
205,1/1/2010,112.37,115.14,107.22,107.39,3710000000
206,2/1/2010,108.15,111.58,104.58,110.74,4450000000
207,3/1/2010,111.2,118.17,111.17,117,3900000000
208,4/1/2010,117.8,122.12,117.1,118.81,3890000000
209,5/3/2010,119.38,120.68,104.38,109.37,7410000000
210,6/1/2010,108.35,113.2,102.88,103.22,5710000000
211,7/1/2010,103.15,112.29,101.13,110.27,4730000000
212,8/2/2010,111.99,113.18,104.29,105.31,4540000000
213,9/1/2010,106.73,115.79,106.66,114.13,4040000000
214,10/1/2010,114.99,119.76,113.18,118.49,3770000000
215,11/1/2010,119.07,122.95,117.59,118.49,3980000000
216,12/1/2010,120.2,126.2,120.19,125.75,2720000000
217,1/3/2011,126.71,130.35,125.7,128.68,2860000000
218,2/1/2011,129.46,134.69,129.38,133.15,2820000000
219,3/1/2011,133.57,133.69,125.28,132.59,4790000000
220,4/1/2011,133.41,136.57,129.51,136.43,2810000000
221,5/2/2011,137.07,137.18,131.38,134.9,3340000000
222,6/1/2011,134.51,134.92,126.19,131.97,4710000000
223,7/1/2011,132.09,135.7,127.97,129.33,3840000000
224,8/1/2011,130.84,130.96,110.27,122.22,9050000000
225,9/1/2011,122.29,123.4,111.3,113.15,6190000000
226,10/3/2011,112.49,129.42,107.43,125.5,5720000000
227,11/1/2011,122.03,128.02,116.2,124.99,5010000000
228,12/1/2011,124.85,127.26,120.03,125.5,3850000000
229,1/2/2012,127.76,133.4,126.43,131.32,2880000000
230,2/1/2012,132.29,138.19,132.13,137.02,2890000000
231,3/1/2012,137.31,141.83,134.36,140.81,3060000000
232,4/2/2012,140.64,142.21,135.76,139.87,3040000000
233,5/1/2012,139.79,141.66,129.55,131.47,4000000000
234,6/1/2012,129.41,136.27,127.14,136.1,3640000000
235,7/2/2012,136.48,139.34,132.6,137.71,2860000000
236,8/1/2012,138.7,143.09,135.58,141.16,2410000000
237,9/3/2012,141.04,148.11,140.13,143.97,2390000000
238,10/1/2012,144.52,147.16,140.39,141.35,2720000000
239,11/1/2012,141.65,143.72,134.7,142.15,3030000000
240,12/3/2012,142.8,145.58,139.54,142.41,2890000000
241,1/1/2013,145.11,150.94,144.73,149.7,2590000000
242,2/1/2013,150.65,153.28,148.73,151.61,2580000000
243,3/1/2013,151.09,156.85,150.41,156.67,2330000000
244,4/1/2013,156.59,159.72,153.55,159.68,2910000000
245,5/1/2013,159.33,169.07,158.1,163.45,2780000000
246,6/3/2013,163.83,165.99,155.73,160.42,3530000000
247,7/1/2013,161.26,169.86,160.22,168.71,2330000000
248,8/1/2013,169.99,170.97,163.05,163.65,2280000000
249,9/2/2013,165.23,173.6,163.7,168.01,2230000000
250,10/1/2013,168.14,177.51,164.53,175.79,2900000000
251,11/1/2013,176.02,181.75,174.76,181,1930000000
252,12/2/2013,181.09,184.69,177.32,184.69,2230000000
253,1/1/2014,183.98,184.94,176.88,178.18,2530000000
254,2/3/2014,177.97,187.15,173.71,186.29,2390000000
255,3/3/2014,184.65,189.02,183.75,187.01,2550000000
256,4/1/2014,187.62,189.7,181.31,188.31,2350000000
257,5/1/2014,188.22,192.8,186.01,192.68,1780000000
258,6/2/2014,192.95,196.6,191.97,195.72,1680000000
259,7/1/2014,196.2,199.06,192.97,193.09,1890000000
260,8/1/2014,192.56,200.82,190.55,200.71,1830000000
261,9/1/2014,200.97,201.9,196.05,197.02,2110000000
262,10/1/2014,196.7,201.82,181.92,201.66,3940000000
263,11/3/2014,201.92,207.87,200.06,207.2,1570000000
264,12/1/2014,206.4,212.97,197.86,205.54,3030000000
265,1/1/2015,206.38,206.88,198.55,199.45,3180000000
266,2/2/2015,200.05,212.24,197.86,210.66,1900000000
267,3/2/2015,210.78,212.06,204.12,206.43,2750000000
