id,monthly_id,date,open,high,low,close,volume
47,12,12/20/1993,46.53,46.84,46.41,46.75,1220000
48,12,12/27/1993,46.75,47.16,46.56,46.59,2130000
49,13,1/3/1994,46.59,47.06,46.41,47.03,2810000
50,13,1/10/1994,47.09,47.59,46.97,47.41,1430000
51,13,1/17/1994,47.41,47.53,47.25,47.38,751600
52,13,1/24/1994,47.34,48.03,47.09,47.88,1530000
53,13,1/31/1994,48.06,48.31,46.97,46.97,2790000
54,14,2/7/1994,46.84,47.44,46.81,47.16,2250000
55,14,2/14/1994,47.06,47.69,46.75,46.88,4060000
56,14,2/21/1994,47,47.44,46.56,46.81,1850000
57,14,2/28/1994,46.94,47.06,45.91,46.69,2160000
58,15,3/7/1994,46.84,47,46.41,46.84,4700000
59,15,3/14/1994,47.03,47.31,46.72,46.97,2050000
60,15,3/21/1994,46.81,47.06,45.94,45.94,2760000
61,15,3/28/1994,46,46.06,43.53,44.59,3370000
62,16,4/4/1994,43.34,45.13,43.34,44.69,5230000
63,16,4/11/1994,44.81,45.06,44.25,44.59,2780000
64,16,4/18/1994,44.64,45.05,43.98,44.86,1850000
65,16,4/25/1994,44.84,45.36,44.81,45.09,1560000
66,17,5/2/1994,45.09,45.72,44.59,44.75,1740000
67,17,5/9/1994,44.63,44.84,44.17,44.52,1920000
68,17,5/16/1994,44.61,45.86,44.5,45.56,2650000
69,17,5/23/1994,45.52,45.94,45.34,45.88,2080000
70,17,5/30/1994,45.73,46.39,45.56,46.23,966000
71,18,6/6/1994,46.33,46.47,45.78,46.11,515400
72,18,6/13/1994,46.05,46.56,45.81,45.88,861300
73,18,6/20/1994,45.55,45.63,44,44.06,1830000
74,18,6/27/1994,44.23,45.02,44.02,44.56,6740000
75,19,7/4/1994,44.66,44.98,44.47,44.91,501900
76,19,7/11/1994,44.94,45.48,44.52,45.39,1460000
77,19,7/18/1994,45.39,45.58,45.06,45.34,1110000
78,19,7/25/1994,45.36,46.05,45.17,45.91,1980000
79,20,8/1/1994,45.94,46.38,45.66,45.78,1510000
80,20,8/8/1994,45.83,46.34,45.72,46.33,2340000
81,20,8/15/1994,46.38,46.73,46.16,46.42,2270000
82,20,8/22/1994,46.44,47.78,46.28,47.69,1090000
83,20,8/29/1994,47.81,47.98,47.22,47.3,1140000
84,21,9/5/1994,47.27,47.56,46.81,47,1030000
85,21,9/12/1994,47,47.64,46.78,47.02,2290000
86,21,9/19/1994,47.13,47.33,45.73,45.91,1360000
87,21,9/26/1994,46.08,46.53,45.98,46.17,1230000
88,22,10/3/1994,46.2,46.3,45,45.45,1150000
89,22,10/10/1994,45.66,47.33,45.64,47.05,2470000
90,22,10/17/1994,47,47.23,46.36,46.56,929200
91,22,10/24/1994,46.58,47.7,46,47.66,844800
92,22,10/31/1994,47.55,47.59,46.33,46.33,798500
93,23,11/7/1994,46.44,47.33,46.28,46.41,1220000
94,23,11/14/1994,46.61,47.09,46.27,46.47,979200
95,23,11/21/1994,46.44,46.58,44.61,45.47,1450000
96,23,11/28/1994,45.45,45.95,45.05,45.56,1160000
97,24,12/5/1994,45.66,45.81,44.69,45.05,1420000
98,24,12/12/1994,44.95,46.03,44.95,45.75,821500
99,24,12/19/1994,45.75,46.27,45.61,46.06,2690000
100,24,12/26/1994,46.22,46.41,45.56,45.56,2880000
101,25,1/2/1995,45.7,46.25,45.69,46.05,1210000
102,25,1/9/1995,46.03,46.73,45.81,46.73,699900
103,25,1/16/1995,46.72,47.08,46.45,46.55,496900
104,25,1/23/1995,46.23,47.23,46.2,47.11,202800
105,25,1/30/1995,47.02,48.11,46.84,48.03,1070000
106,26,2/6/1995,48.02,48.47,47.97,48.36,2170000
107,26,2/13/1995,48.33,48.77,48.25,48.45,829800
108,26,2/20/1995,48.45,49.16,48.42,49,1260000
109,26,2/27/1995,48.86,49.03,48.48,48.78,1800000
110,27,3/6/1995,48.45,49.39,48.22,49.27,678100
111,27,3/13/1995,49.23,49.81,49.17,49.56,873400
112,27,3/20/1995,49.63,50.22,49.33,50.22,625500
113,27,3/27/1995,50.3,50.89,49.55,50.11,1340000
114,28,4/3/1995,50.09,50.86,50.06,50.7,1080000
115,28,4/10/1995,50.63,51.09,50.59,51.08,930000
116,28,4/17/1995,51.27,51.31,50.3,50.89,1080000
117,28,4/24/1995,50.86,51.67,50.86,51.59,1300000
118,29,5/1/1995,51.55,52.69,51.39,52.19,2100000
119,29,5/8/1995,52.14,52.88,52.09,52.75,1140000
120,29,5/15/1995,52.89,53.16,51.91,52.09,1500000
121,29,5/22/1995,52.27,53.42,52.23,52.56,1620000
122,29,5/29/1995,52.69,53.92,52.38,53.55,1550000
123,30,6/5/1995,53.55,54.05,52.75,53.06,910900
124,30,6/12/1995,53.23,54.23,53.2,53.97,1490000
125,30,6/19/1995,54.13,55.16,54.09,55.02,1190000
126,30,6/26/1995,54.86,54.95,54.06,54.41,1280000
127,31,7/3/1995,54.47,55.78,54.47,55.77,1100000
128,31,7/10/1995,55.81,56.31,55.45,56.05,1780000
129,31,7/17/1995,56.13,56.42,54.2,55.41,1290000
130,31,7/24/1995,55.48,56.7,55.48,56.3,986900
131,31,7/31/1995,56.34,56.8,55.45,55.98,2160000
132,32,8/7/1995,56.11,56.31,55.42,55.66,1790000
133,32,8/14/1995,55.8,56.41,55.66,56.17,1110000
134,32,8/21/1995,56.41,56.64,55.75,56.3,1030000
135,32,8/28/1995,56.45,56.75,55.77,56.66,2990000
136,33,9/4/1995,56.83,57.55,56.73,57.55,852800
137,33,9/11/1995,57.64,58.81,57.58,58.44,1530000
138,33,9/18/1995,58.23,58.78,57.78,58.31,2110000
139,33,9/25/1995,58.38,58.91,57.59,58.48,2310000
140,34,10/2/1995,58.48,58.63,57.95,58.41,1730000
141,34,10/9/1995,58.19,58.86,57.27,58.63,1640000
142,34,10/16/1995,58.45,59.19,58.3,58.83,2070000
143,34,10/23/1995,58.55,58.89,57.28,58.19,2520000
144,34,10/30/1995,58.33,59.25,58.23,59.23,2350000
145,35,11/6/1995,59.22,59.61,58.63,59.53,2330000
146,35,11/13/1995,59.42,60.2,59.08,60.19,2590000
147,35,11/20/1995,60.28,60.38,59.86,60.33,982000
148,35,11/27/1995,60.45,61.2,60.16,60.98,2050000
149,36,12/4/1995,61.13,62.53,61.05,62.16,2060000
150,36,12/11/1995,62.28,62.8,61.59,61.81,1690000
151,36,12/18/1995,61.27,61.52,60.58,61.2,4430000
152,36,12/25/1995,61.45,61.66,61.25,61.48,1180000
153,37,1/1/1996,61.41,62.63,61.17,61.59,2560000
154,37,1/8/1996,61.81,62.06,59.64,60.23,2290000
155,37,1/15/1996,60.25,61.42,59.86,61.27,1610000
156,37,1/22/1996,61.22,62.27,61.11,62.23,3180000
157,37,1/29/1996,62.19,64.02,62.14,63.64,1900000
158,38,2/5/1996,63.53,66.38,63.44,65.83,3510000
159,38,2/12/1996,65.95,66.69,64.73,64.94,3600000
160,38,2/19/1996,64.44,66.61,63.88,65.94,3080000
161,38,2/26/1996,65.75,65.89,63.61,64.89,5240000
162,39,3/4/1996,65.03,65.97,62,63.5,4500000
163,39,3/11/1996,63.25,64.81,62.91,64.13,5510000
164,39,3/18/1996,64.72,65.94,64.58,65.16,3520000
165,39,3/25/1996,65.75,65.81,64.38,64.69,4040000
166,40,4/1/1996,65,65.72,64.8,65.52,2640000
167,40,4/8/1996,63.88,64.64,62.13,63.72,6020000
168,40,4/15/1996,64.05,64.86,63.84,64.53,3140000
169,40,4/22/1996,65.13,65.81,64.59,65.44,2790000
170,40,4/29/1996,65.16,65.8,63.75,64.31,3600000
171,41,5/6/1996,64.56,65.59,63.08,65.38,4440000
172,41,5/13/1996,65.53,67.31,65.47,67.19,2910000
173,41,5/20/1996,67.66,68.44,66.98,68.17,3990000
174,41,5/27/1996,68.38,68.38,66.75,66.88,2930000
175,42,6/3/1996,66.89,68.5,66.19,67.63,3500000
176,42,6/10/1996,67.53,68.03,66.72,66.94,5330000
177,42,6/17/1996,66.97,67.22,66.19,66.81,4180000
178,42,6/24/1996,66.97,67.5,66.16,67.11,3860000
179,43,7/1/1996,67.28,67.7,65.38,65.58,2010000
180,43,7/8/1996,65.63,65.98,63.88,64.56,5690000
181,43,7/15/1996,64.72,64.72,60.38,63.97,10100000
182,43,7/22/1996,63.53,63.94,61.63,63.72,7100000
183,43,7/29/1996,63.63,66.59,62.94,66.56,6200000
184,44,8/5/1996,66.58,66.77,65.8,66.22,3840000
185,44,8/12/1996,66.25,66.88,66,66.84,3210000
186,44,8/19/1996,66.86,67.34,66.38,66.86,2690000
187,44,8/26/1996,66.7,67,65.13,65.33,3580000
188,45,9/2/1996,64.47,66.75,64.38,65.94,4130000
189,45,9/9/1996,66.19,68.63,66.08,68.56,4820000
190,45,9/16/1996,68.66,69.16,68.22,68.64,3410000
191,45,9/23/1996,68.47,69.25,68.16,68.69,4270000
192,45,9/30/1996,68.78,70.34,68.44,70.34,2840000
193,46,10/7/1996,70.31,70.69,69.38,70.31,3040000
194,46,10/14/1996,70.31,71.31,69.94,71.22,3060000
195,46,10/21/1996,71.28,71.63,70.13,70.31,3410000
196,46,10/28/1996,70.38,71.16,69.7,70.59,3830000
197,47,11/4/1996,70.69,73.44,70.53,73.42,6840000
198,47,11/11/1996,73.25,74.5,73.02,74.03,4670000
199,47,11/18/1996,74.17,75.25,73.73,75.17,4900000
200,47,11/25/1996,75.25,76.69,75.08,76.02,6870000
201,48,12/2/1996,75.92,76.58,72.66,74.31,10600000
202,48,12/9/1996,74.69,75.67,72.41,73.31,9260000
203,48,12/16/1996,73.5,75.72,71.88,74.84,9330000
204,48,12/23/1996,75.09,76.03,74.33,75.88,3690000
205,48,12/30/1996,76.13,76.13,72.75,75.09,6230000
206,49,1/6/1997,75.09,76.25,74.13,76.13,7900000
207,49,1/13/1997,76.5,77.75,75.64,77.56,7970000
208,49,1/20/1997,77.75,79.69,76.75,76.75,10700000
209,49,1/27/1997,76.88,79.41,76,78.41,12900000
210,50,2/3/1997,78.72,79.47,77.13,79.22,8470000
211,50,2/10/1997,79.25,81.56,78.13,81.19,8230000
212,50,2/17/1997,81.34,82,80.14,80.38,4520000
213,50,2/24/1997,79.97,81.53,79.06,79.16,8810000
214,51,3/3/1997,78.75,81.16,78.69,80.84,7330000
215,51,3/10/1997,80.94,81.8,79.06,79.69,6910000
216,51,3/17/1997,79.25,80.11,77.88,78.44,10500000
217,51,3/24/1997,78.5,79.97,76.16,77,8510000
218,51,3/31/1997,76.91,77.13,74.16,75.84,16100000
219,52,4/7/1997,76.19,77.05,73.38,73.38,13100000
220,52,4/14/1997,73.73,77,73.31,76.56,12100000
221,52,4/21/1997,76.75,78.28,75.47,76.53,12400000
222,52,4/28/1997,76.5,81.67,76.38,81.44,11800000
223,53,5/5/1997,81.66,83.56,81.19,82.63,13200000
224,53,5/12/1997,82.94,84.59,82.88,83.22,9140000
225,53,5/19/1997,83.31,85.22,82.75,84.78,5890000
226,53,5/26/1997,84.38,85.56,83.13,85.16,5670000
227,54,6/2/1997,85.34,86.44,84.08,86.38,6800000
228,54,6/9/1997,86.44,90,86.34,89.72,11100000
229,54,6/16/1997,89.75,90.5,88.94,89.58,8250000
230,54,6/23/1997,89.41,90.25,87.34,88.91,18800000
231,54,6/30/1997,88.91,92.16,87.88,92.06,8630000
232,55,7/7/1997,92.38,92.5,90.03,91.78,14300000
233,55,7/14/1997,91.89,94.09,91.06,91.3,14500000
234,55,7/21/1997,91.28,94.81,90.69,94.03,17800000
235,55,7/28/1997,94.25,96.03,93.42,94.94,19600000
236,56,8/4/1997,94.78,96.63,92.41,93.38,17000000
237,56,8/11/1997,93.75,94.55,89.63,89.78,27800000
238,56,8/18/1997,90.38,94.31,89.34,92.56,26500000
239,56,8/25/1997,92.78,93.41,89.72,90.38,20600000
240,57,9/1/1997,90.69,94.44,90.59,93.14,16200000
241,57,9/8/1997,93.72,94.28,90.25,92.66,20100000
242,57,9/15/1997,92.66,96.38,92.19,95.03,17900000
243,57,9/22/1997,95.5,96.2,93.63,94.47,18200000
244,57,9/29/1997,94.5,97.75,94.16,96.64,18800000
245,58,10/6/1997,97.31,98.5,96.22,96.88,15000000
246,58,10/13/1997,97.34,97.55,93,94.28,24200000
247,58,10/20/1997,94.84,97.5,93.67,94,28200000
248,58,10/27/1997,93.02,93.94,84.38,92.06,57400000
249,59,11/3/1997,93.19,95.28,91.44,92.94,28100000
250,59,11/10/1997,93.63,93.84,90.09,93.06,28800000
251,59,11/17/1997,94.38,96.81,92.75,96.75,23200000
252,59,11/24/1997,96,96.34,94.63,95.63,13100000
253,60,12/1/1997,96.22,99,96.03,98.94,16500000
254,60,12/8/1997,98.97,99,94.91,95.75,17100000
255,60,12/15/1997,96.25,97.88,92.38,94.78,23000000
256,60,12/22/1997,95.44,95.91,93.25,93.78,12500000
257,60,12/29/1997,94.59,97.66,94.44,97.56,12400000
258,61,1/5/1998,97.84,98.44,91.91,92.31,25900000
259,61,1/12/1998,91.13,96.69,90.91,96.31,28300000
260,61,1/19/1998,96.69,98.02,95,95.94,20700000
261,61,1/26/1998,96.38,99.56,95.41,98.31,27300000
262,62,2/2/1998,99.91,101.63,99.72,101.63,22700000
263,62,2/9/1998,101.72,102.94,100.72,102,17200000
264,62,2/16/1998,102.81,103.72,102.16,103.66,13200000
265,62,2/23/1998,104.25,105.53,102.94,105.13,16700000
266,63,3/2/1998,105.25,105.94,103.16,105.94,26200000
267,63,3/9/1998,105.53,108,105.25,107.09,18400000
268,63,3/16/1998,107.84,110.19,107.53,109.88,15400000
269,63,3/23/1998,109.72,111.53,109,109.63,18300000
270,63,3/30/1998,109.63,112.81,108.97,112.59,19700000
271,64,4/6/1998,113.25,113.38,109.75,111.19,19500000
272,64,4/13/1998,111.38,112.44,110,112.28,24400000
273,64,4/20/1998,112,113.44,110.34,110.81,26700000
274,64,4/27/1998,109.38,112.59,107.63,112.59,41400000
275,65,5/4/1998,112.72,113.31,109.34,111.13,30100000
276,65,5/11/1998,111.56,112.69,110.34,111.03,27700000
277,65,5/18/1998,110.72,112.78,109.83,111.25,27600000
278,65,5/25/1998,112.09,112.09,107.58,109.03,26800000
279,66,6/1/1998,108.97,112,107.88,112,34300000
280,66,6/8/1998,111.94,113.06,108.25,110.44,30900000
281,66,6/15/1998,108.81,111.78,107.5,110.06,37200000
282,66,6/22/1998,110.25,114.44,110.06,113.69,29400000
283,66,6/29/1998,114.25,114.94,113.06,114.84,17200000
284,67,7/6/1998,114.78,116.94,114.56,116.47,29700000
285,67,7/13/1998,116.56,119,116.06,118.56,28400000
286,67,7/20/1998,118.75,119.23,112.88,114.09,44900000
287,67,7/27/1998,113.63,115,111.31,111.78,45300000
288,68,8/3/1998,111.78,112.42,105.59,109.13,72500000
289,68,8/10/1998,108.75,109.66,105.5,106.13,49400000
290,68,8/17/1998,106,111.09,105.5,108.56,49200000
291,68,8/24/1998,109.25,111.25,102.16,103.38,74900000
292,68,8/31/1998,103.75,104.02,93.63,97.75,96200000
293,69,9/7/1998,100.88,103.13,96.81,101.69,67100000
294,69,9/14/1998,102.88,105.25,101.09,102.09,50000000
295,69,9/21/1998,99.63,107,98.94,104.25,51200000
296,69,9/28/1998,105.31,106.31,97.22,100.72,55100000
297,70,10/5/1998,99.59,101.28,92.22,98.53,73100000
298,70,10/12/1998,100.63,107.25,98.75,106,61100000
299,70,10/19/1998,105.69,108.8,105.5,106.84,46200000
300,70,10/26/1998,107.72,110.91,106.03,110,41100000
301,71,11/2/1998,110.81,114.56,110.19,114.13,33700000
302,71,11/9/1998,113.94,114.25,111.69,113.22,42100000
303,71,11/16/1998,114.22,116.75,112.89,116.63,30500000
304,71,11/23/1998,117.47,119.72,117.16,119.5,21400000
305,71,11/30/1998,119.02,119.38,115.09,118.38,47600000
306,72,12/7/1998,118.06,119.75,115.56,117.13,33900000
307,72,12/14/1998,116.16,119.13,113.75,118.5,38100000
308,72,12/21/1998,119.25,123.25,119,122.69,23300000
309,72,12/28/1998,123.25,124.75,122,123.31,21700000
310,73,1/4/1999,123.38,128.5,121.72,127.75,36900000
311,73,1/11/1999,127.69,127.69,120.38,124.38,45400000
312,73,1/18/1999,125.3,127.94,121.78,122.56,27500000
313,73,1/25/1999,123.28,128.3,121.91,127.66,31600000
314,74,2/1/1999,128.69,128.69,123.22,124.06,44200000
315,74,2/8/1999,125.09,126.09,121.33,123.63,44300000
316,74,2/15/1999,124.75,125.75,122.22,124.25,29100000
317,74,2/22/1999,124.44,128.84,122.69,123.56,47000000
318,75,3/1/1999,123.66,128.13,121.78,127.55,44100000
319,75,3/8/1999,128.28,131.19,127.25,129.38,28500000
320,75,3/15/1999,129.94,132.63,129.5,129.69,23500000
321,75,3/22/1999,130.06,130.59,125.63,128.56,33400000
322,75,3/29/1999,129.16,131.61,128.13,129.34,26400000
323,76,4/5/1999,130.94,135.5,130.25,134.88,27700000
324,76,4/12/1999,133.47,136.47,131,131.53,47500000
325,76,4/19/1999,132.69,136.75,128.38,135.81,38800000
326,76,4/26/1999,136.5,137.5,131.5,133.25,35100000
327,77,5/3/1999,133.44,135.84,131.84,135,53400000
328,77,5/10/1999,134.84,138,131.5,133.78,39300000
329,77,5/17/1999,133.63,135.59,132.38,133.34,30600000
330,77,5/24/1999,133.84,133.84,128,130.2,59200000
331,77,5/31/1999,130.13,133.36,128.02,133.22,29600000
332,78,6/7/1999,133.44,134.19,129.09,129.81,37500000
333,78,6/14/1999,130.69,135.56,129.55,134.31,31400000
334,78,6/21/1999,134.47,135.25,130.66,131.7,33400000
335,78,6/28/1999,132.69,139.5,132.5,139.41,42600000
336,79,7/5/1999,139.25,140.75,138.52,140.5,24500000
337,79,7/12/1999,140.94,142.16,138.66,141.81,20900000
338,79,7/19/1999,142.19,142.25,135.13,135.75,28500000
339,79,7/26/1999,134.88,137.31,132.56,132.75,28000000
340,80,8/2/1999,132.75,134.75,128.84,130.38,35900000
341,80,8/9/1999,130.59,133.25,127,133.16,36300000
342,80,8/16/1999,133.13,134.84,131.69,133.91,23200000
343,80,8/23/1999,134.81,138.78,134.66,135.06,31500000
344,80,8/30/1999,135.34,136.5,130.66,135.97,43000000
345,81,9/6/1999,136.06,136.63,133.69,135.88,19800000
346,81,9/13/1999,135.13,135.47,130.31,133.75,37000000
347,81,9/20/1999,133.94,134,126.31,127.75,51100000
348,81,9/27/1999,128.75,129.75,125.56,128.47,44200000
349,82,10/4/1999,129.19,133.88,128.69,133.88,44800000
350,82,10/11/1999,133.59,134.13,124.5,124.88,48200000
351,82,10/18/1999,124.94,131.22,123.44,130.09,51300000
352,82,10/25/1999,129.31,137.69,127.81,137,41300000
353,83,11/1/1999,136.5,139.11,134.59,137.88,33100000
354,83,11/8/1999,137,139.98,136.08,139.75,32200000
355,83,11/15/1999,139.84,143,139.41,142.5,28500000
356,83,11/22/1999,142.44,143,140,141.44,16200000
357,83,11/29/1999,140.88,145.34,139,143.84,38800000
358,84,12/6/1999,143.53,143.72,139.38,141.88,30100000
359,84,12/13/1999,141.44,143.31,140.03,142.69,27500000
360,84,12/20/1999,142.56,146.48,141.09,146.48,23700000
361,84,12/27/1999,146.5,147.56,145.06,146.88,16600000
362,85,1/3/2000,148.25,148.25,137.25,145.75,42700000
363,85,1/10/2000,146.25,147.47,142.88,146.97,32700000
364,85,1/17/2000,145.34,147,143.81,144.44,24700000
365,85,1/24/2000,145.66,145.84,135.53,135.88,45800000
366,85,1/31/2000,135.81,144,135,142.59,38300000
367,86,2/7/2000,142.56,144.56,138.03,138.69,35800000
368,86,2/14/2000,139.78,141.22,134.63,135.31,45400000
369,86,2/21/2000,135.19,137.47,133.09,133.33,56500000
370,86,2/28/2000,133.38,141.72,132.72,141.13,48900000
371,87,3/6/2000,140.81,142,135.03,140.13,57300000
372,87,3/13/2000,136.69,148,135.69,146.94,65000000
373,87,3/20/2000,146.88,155.75,144.5,153.56,57500000
374,87,3/27/2000,153.38,153.78,147.13,150.38,40600000
375,88,4/3/2000,150.13,153,141.39,151.44,48900000
376,88,4/10/2000,151.75,153.11,133.5,136,71200000
377,88,4/17/2000,135.19,145.13,134.69,143.81,50100000
378,88,4/24/2000,141.5,148.75,140.5,145.09,59000000
379,89,5/1/2000,146.56,148.48,139.78,143.53,43200000
380,89,5/8/2000,142.75,143.47,137.75,142.81,34000000
381,89,5/15/2000,142.75,147.72,140.41,141.13,29400000
382,89,5/22/2000,141.25,141.81,136.5,138,43000000
383,89,5/29/2000,140,149.09,139.47,147.84,29300000
384,90,6/5/2000,147.47,148.22,145.63,146.59,25600000
385,90,6/12/2000,146.97,148.88,144.63,146.59,28100000
386,90,6/19/2000,146.47,149.16,143.88,144.38,27100000
387,90,6/26/2000,145.38,146.98,143.52,145.28,28500000
388,91,7/3/2000,145.44,148.78,144.22,148.09,13200000
389,91,7/10/2000,147.88,151.25,147.16,151.25,24800000
390,91,7/17/2000,150.98,151.98,147.69,147.69,27200000
391,91,7/24/2000,148.13,148.86,141.52,142.09,36300000
392,91,7/31/2000,142.94,146.72,142.06,146.38,24900000
393,92,8/7/2000,146.72,149.22,145.56,147.41,22500000
394,92,8/14/2000,147.78,150.44,147.06,149.69,24000000
395,92,8/21/2000,150.03,151.63,149.28,151.25,18300000
396,92,8/28/2000,151.25,153.59,150.34,152.5,21100000
397,93,9/4/2000,151.88,152.2,149.33,149.81,15600000
398,93,9/11/2000,149.75,151.19,146,146,23900000
399,93,9/18/2000,146.38,146.97,142.42,145.28,32000000
400,93,9/25/2000,145.94,146.33,142.13,143.63,38600000
401,94,10/2/2000,144.28,145.75,139.75,141.06,35600000
402,94,10/9/2000,141.31,141.31,132.78,137.56,45100000
403,94,10/16/2000,137.41,141.19,130.16,139.91,40500000
404,94,10/23/2000,139.94,141.94,134.03,139.28,39300000
405,94,10/30/2000,138.44,143.91,138.16,142.78,41200000
406,95,11/6/2000,143.16,144.3,136.53,136.63,34600000
407,95,11/13/2000,135.63,140.11,133.02,136.64,47000000
408,95,11/20/2000,135.75,136.38,132.13,134.84,22300000
409,95,11/27/2000,136.47,136.69,129.75,132.22,37000000
410,96,12/4/2000,131.88,139.47,131.5,133.97,45600000
411,96,12/11/2000,137.38,139.56,130.56,130.97,34200000
412,96,12/18/2000,132.06,134.97,125.53,130.94,51400000
413,96,12/25/2000,130.84,134.28,130.28,131.19,26700000
414,97,1/1/2001,132,136,127.56,129.19,50300000
415,97,1/8/2001,129.88,133.72,127.69,132,35600000
416,97,1/15/2001,132,136.19,131.52,134.02,32300000
417,97,1/22/2001,134.25,137.31,133.56,135.88,39700000
418,97,1/29/2001,135.5,138.7,134.75,134.8,40000000
419,98,2/5/2001,134.8,136.7,131.26,131.84,33100000
420,98,2/12/2001,131.7,134.17,129.3,130.4,33200000
421,98,2/19/2001,131.04,131.14,121.8,124.96,58100000
422,98,2/26/2001,125.8,127.84,121.75,123.61,65000000
423,99,3/5/2001,124.15,127.75,123.11,123.36,34700000
424,99,3/12/2001,122.34,122.5,114.81,115.01,116000000
425,99,3/19/2001,115.76,118.46,108.04,114.48,85600000
426,99,3/26/2001,115.7,118.65,112.14,116.69,55000000
427,100,4/2/2001,116.3,117.38,109.3,113.3,74700000
428,100,4/9/2001,114,118.99,112.78,118.85,48900000
429,100,4/16/2001,118.29,126,116.91,124.5,72200000
430,100,4/23/2001,123.65,125.84,120.95,125.78,45300000
431,100,4/30/2001,126.45,127.69,123.44,127.34,53000000
432,101,5/7/2001,126.86,127.5,124.4,125.15,38300000
433,101,5/14/2001,124.9,130.08,124.46,129.74,51100000
434,101,5/21/2001,129.84,132.09,127.9,128.1,47500000
435,101,5/28/2001,128.22,128.35,125,126.73,37800000
436,102,6/4/2001,126.8,129.23,126.08,127,42300000
437,102,6/11/2001,126.71,126.99,120.4,121.85,53400000
438,102,6/18/2001,121.65,124.31,120.89,122.85,52400000
439,102,6/25/2001,123.28,124.01,120.57,122.6,46600000
440,103,7/2/2001,122.8,124.32,119.05,119.05,29000000
441,103,7/9/2001,119.49,122.32,117.09,122.24,54700000
442,103,7/16/2001,121.77,122.98,119.83,121.34,38900000
443,103,7/23/2001,121.8,121.88,116.75,120.81,53800000
444,103,7/30/2001,121.19,123.25,120.3,121.94,54300000
445,104,8/6/2001,121.35,121.51,117.34,119.29,57900000
446,104,8/13/2001,119.6,120.35,116.01,116.75,51500000
447,104,8/20/2001,116.8,119.13,115.78,119.02,57100000
448,104,8/27/2001,118.97,119.2,112.04,114.15,69300000
449,105,9/3/2001,113.85,116.17,108.63,108.72,101000000
450,105,9/10/2001,107.7,110.35,107.7,110.05,23400000
451,105,9/17/2001,101,106.4,93.8,97.28,183000000
452,105,9/24/2001,99.72,109.62,99.06,104.44,112000000
453,106,10/1/2001,103.9,108.97,102.83,107.23,135000000
454,106,10/8/2001,106.27,110.3,105.52,109.5,103000000
455,106,10/15/2001,108.63,111.15,106.01,107.35,99700000
456,106,10/22/2001,107.3,111.79,106.74,110.32,102000000
